SampleID	Population
AFR___LWK___NA19430	African
AFR___LWK___NA19431	African
AFR___LWK___NA19434	African
AFR___LWK___NA19435	African
AFR___LWK___NA19436	African
AFR___LWK___NA19437	African
AFR___LWK___NA19438	African
AFR___LWK___NA19439	African
AFR___LWK___NA19440	African
AFR___LWK___NA19443	African
AFR___LWK___NA19445	African
AFR___LWK___NA19446	African
AFR___LWK___NA19448	African
AFR___LWK___NA19449	African
AFR___LWK___NA19451	African
AFR___LWK___NA19452	African
AFR___LWK___NA19454	African
AFR___LWK___NA19455	African
AFR___LWK___NA19456	African
AFR___LWK___NA19457	African
AFR___LWK___NA19461	African
AFR___LWK___NA19462	African
AFR___LWK___NA19463	African
AFR___LWK___NA19466	African
AFR___LWK___NA19467	African
AFR___LWK___NA19468	African
AFR___LWK___NA19471	African
AFR___LWK___NA19472	African
AFR___LWK___NA19473	African
AFR___LWK___NA19474	African
AFR___LWK___NA19475	African
AFR___MSL___HG03052	African
AFR___MSL___HG03054	African
AFR___MSL___HG03055	African
AFR___MSL___HG03057	African
AFR___MSL___HG03058	African
AFR___MSL___HG03060	African
AFR___MSL___HG03061	African
AFR___MSL___HG03063	African
AFR___MSL___HG03064	African
AFR___MSL___HG03066	African
AFR___MSL___HG03069	African
AFR___MSL___HG03072	African
AFR___MSL___HG03073	African
AFR___MSL___HG03074	African
AFR___MSL___HG03077	African
AFR___MSL___HG03078	African
AFR___MSL___HG03079	African
AFR___MSL___HG03081	African
AFR___MSL___HG03082	African
AFR___MSL___HG03084	African
AFR___MSL___HG03085	African
AFR___MSL___HG03086	African
AFR___MSL___HG03088	African
AFR___MSL___HG03091	African
AFR___MSL___HG03095	African
AFR___MSL___HG03096	African
AFR___MSL___HG03097	African
AFR___MSL___HG03209	African
AFR___MSL___HG03212	African
AFR___MSL___HG03224	African
AFR___MSL___HG03225	African
AFR___MSL___HG03376	African
AFR___MSL___HG03378	African
AFR___MSL___HG03380	African
AFR___MSL___HG03382	African
AFR___MSL___HG03385	African
AFR___MSL___HG03388	African
AFR___MSL___HG03391	African
AFR___MSL___HG03393	African
AFR___MSL___HG03394	African
AFR___MSL___HG03397	African
AFR___MSL___HG03398	African
AFR___MSL___HG03401	African
AFR___MSL___HG03410	African
AFR___MSL___HG03419	African
AFR___MSL___HG03428	African
AFR___MSL___HG03431	African
AFR___MSL___HG03432	African
AFR___MSL___HG03433	African
AFR___MSL___HG03436	African
AFR___MSL___HG03437	African
AFR___MSL___HG03439	African
AFR___MSL___HG03442	African
AFR___MSL___HG03445	African
AFR___MSL___HG03446	African
AFR___MSL___HG03449	African
AFR___MSL___HG03451	African
AFR___MSL___HG03452	African
AFR___MSL___HG03455	African
AFR___MSL___HG03457	African
